customer_id,name,email,phone,gender,city,age,registration_date
1,Customer 1,customer1@example.com,3244272509,Male,Islamabad,25,2024-01-02
2,Customer 2,customer2@example.com,3631969374,Female,Faisalabad,59,2024-01-03
3,Customer 3,customer3@example.com,3507608741,Male,Lahore,49,2024-01-04
4,Customer 4,customer4@example.com,3130437866,Female,Faisalabad,56,2024-01-05
5,Customer 5,customer5@example.com,3918492001,Male,Faisalabad,35,2024-01-06
6,Customer 6,customer6@example.com,3874747711,Male,Rawalpindi,24,2024-01-07
7,Customer 7,customer7@example.com,3440837476,Male,Lahore,19,2024-01-08
8,Customer 8,customer8@example.com,3797444855,Male,Faisalabad,31,2024-01-09
9,Customer 9,customer9@example.com,3553244221,Male,Rawalpindi,32,2024-01-10
10,Customer 10,customer10@example.com,3920017699,Female,Faisalabad,53,2024-01-11
11,Customer 11,customer11@example.com,3350272526,Female,Karachi,32,2024-01-12
12,Customer 12,customer12@example.com,3917061414,Female,Islamabad,19,2024-01-13
13,Customer 13,customer13@example.com,3546869806,Male,Karachi,58,2024-01-14
14,Customer 14,customer14@example.com,3877001467,Female,Lahore,39,2024-01-15
15,Customer 15,customer15@example.com,3874687978,Female,Rawalpindi,60,2024-01-16
16,Customer 16,customer16@example.com,3303849597,Female,Islamabad,55,2024-01-17
17,Customer 17,customer17@example.com,3636185925,Female,Rawalpindi,20,2024-01-18
18,Customer 18,customer18@example.com,3615639791,Male,Faisalabad,44,2024-01-19
19,Customer 19,customer19@example.com,3813762923,Male,Islamabad,53,2024-01-20
20,Customer 20,customer20@example.com,3854884265,Female,Lahore,46,2024-01-21
21,Customer 21,customer21@example.com,3812704513,Male,Karachi,51,2024-01-22
22,Customer 22,customer22@example.com,3522254446,Female,Faisalabad,19,2024-01-23
23,Customer 23,customer23@example.com,3603928666,Male,Islamabad,57,2024-01-24
24,Customer 24,customer24@example.com,3736926179,Female,Karachi,28,2024-01-25
25,Customer 25,customer25@example.com,3639274549,Male,Lahore,30,2024-01-26
26,Customer 26,customer26@example.com,3679409818,Male,Faisalabad,50,2024-01-27
27,Customer 27,customer27@example.com,3469180232,Female,Faisalabad,35,2024-01-28
28,Customer 28,customer28@example.com,3807826512,Male,Faisalabad,50,2024-01-29
29,Customer 29,customer29@example.com,3968807354,Male,Rawalpindi,53,2024-01-30
30,Customer 30,customer30@example.com,3320638116,Female,Lahore,48,2024-01-31
31,Customer 31,customer31@example.com,3491632347,Male,Rawalpindi,44,2024-02-01
32,Customer 32,customer32@example.com,3620684370,Female,Faisalabad,40,2024-02-02
33,Customer 33,customer33@example.com,3101701610,Female,Faisalabad,56,2024-02-03
34,Customer 34,customer34@example.com,3130037904,Male,Karachi,53,2024-02-04
35,Customer 35,customer35@example.com,3727560084,Male,Lahore,53,2024-02-05
36,Customer 36,customer36@example.com,3955876987,Female,Lahore,22,2024-02-06
37,Customer 37,customer37@example.com,3189371972,Male,Faisalabad,18,2024-02-07
38,Customer 38,customer38@example.com,3909757328,Female,Karachi,35,2024-02-08
39,Customer 39,customer39@example.com,3217562515,Male,Islamabad,36,2024-02-09
40,Customer 40,customer40@example.com,3174641570,Male,Karachi,34,2024-02-10
41,Customer 41,customer41@example.com,3666270385,Male,Islamabad,59,2024-02-11
42,Customer 42,customer42@example.com,3864063871,Female,Faisalabad,38,2024-02-12
43,Customer 43,customer43@example.com,3633106007,Female,Lahore,19,2024-02-13
44,Customer 44,customer44@example.com,3435012742,Female,Islamabad,44,2024-02-14
